"age"
76
56
41
71
52
28
77
60
49
68
53
64
68
63
14
72
46
72
95
54
89
25
37
43
68
67
86
56
16
42
65
52
58
60
68
75
19
66
56
46
58
74
65
64
27
73
56
63
69
77
80
76
65
61
26
57
45
31
36
46
43
68
57
57
55
58
20
67
44
59
32
83
55
15
58
47
54
55
38
41
56
48
44
70
40
53
65
54
71
49
55
69
83
60
40
77
35
46
34
69
60
84
66
56
75
36
52
58
39
68
71
52
55
66
35
44
72
58
54
33
45
62
72
51
77
43
65
63
60
50
40
67
69
74
49
47
42
54
72
45
67
48
34
44
31
42
24
58
78
62
70
35
61
54
29
64
47
62
32
49
25
49
64
36
58
37
54
61
31
61
60
43
68
4
60
50
20
54
29
56
60
46
42
34
56
12
21
46
49
35
42
47
69
52
52
30
22
55
26
19
29
40
42
50
41
